"","category","fileSize","startTime","endTime"
"7","Geographical Object_ItemIDs.csv",46.5139331817627,"1501515326.41641","1501525564.35194"
"13","Wikimedia_Internal_ItemIDs.csv",45.7416505813599,"1501525684.40654","1501536626.10759"
"8","Human_ItemIDs.csv",31.0665121078491,"1501536746.20833","1501543908.18979"
"11","Taxon_ItemIDs.csv",20.8777456283569,"1501544028.29061","1501550023.21914"
"14","Work of Art_ItemIDs.csv",11.6900644302368,"1501550143.3199","1501555300.64546"
"9","Organization_ItemIDs.csv",9.82321548461914,"1501555420.74611","1501558663.07262"
"10","Scientific Article_ItemIDs.csv",6.41038799285889,"1501558783.17343","1501560353.1331"
"1","Architectural Structure_ItemIDs.csv",5.65543746948242,"1501560473.19454","1501563181.10832"
"12","Thoroughfare_ItemIDs.csv",3.63614463806152,"1501563301.12369","1501565502.73364"
"4","Chemical Entities_ItemIDs.csv",3.33560657501221,"1501565622.83056","1501568274.27837"
"6","Gene_ItemIDs.csv",2.72645378112793,"1501568394.37913","1501570299.37286"
"3","Book_ItemIDs.csv",1.61632347106934,"1501570419.4735","1501571817.83692"
"5","Event_ItemIDs.csv",1.54674053192139,"1501571937.84333","1501573809.06074"
"2","Astronomical Object_ItemIDs.csv",1.30609035491943,"1501573929.12253","1501575410.698"
