Tables_in_aawiki
abuse_filter
abuse_filter_action
abuse_filter_history
abuse_filter_log
archive
babel
betafeatures_user_counts
blob_orphans
blob_tracking
bv2009_edits
bv2011_edits
bv2013_edits
bv2015_edits
bv2017_edits
category
categorylinks
change_tag
click_tracking
click_tracking_events
click_tracking_user_properties
cu_changes
cu_log
cur
echo_email_batch
echo_event
echo_notification
edit_page_tracking
externallinks
filearchive
filejournal
geo_tags
global_block_whitelist
hidden
image
imagelinks
interwiki
ipblocks
iwlinks
job
l10n_cache
langlinks
linkscc
linter
log_search
logging
logging_pre_1_10
math
mathoid
module_deps
moodbar_feedback
moodbar_feedback_response
msg_resource
msg_resource_links
objectcache
oldimage
page
page_props
page_restrictions
pagelinks
pif_edits
povwatch_log
povwatch_subscribers
pr_index
prefstats
prefswitch_survey
profiling
protected_titles
querycache
querycache_info
querycachetwo
recentchanges
redirect
revision
searchindex
securepoll_cookie_match
securepoll_elections
securepoll_entity
securepoll_lists
securepoll_msgs
securepoll_options
securepoll_properties
securepoll_questions
securepoll_strike
securepoll_voters
securepoll_votes
site_identifiers
site_stats
sites
spoofuser
tag_summary
templatelinks
text
trackbacks
transcache
transcode
updatelog
uploadstash
user
user_former_groups
user_groups
user_newtalk
user_properties
valid_tag
watchlist
wbc_entity_usage
