item,label,lon,lat
Q654341,Jardin botanique exotique de Menton,7.5112 , 43.7847
Q663149,Palmengarten,8.65806 , 50.1233
Q673757,Brissago Islands,8.735 , 46.133333333
Q673954,Arktisch-Alpiner Garten der Walter-Meusel-Stiftung,12.9399 , 50.8875
Q677516,Botanical Garden of Geneva,6.146666666 , 46.225
Q677602,Botanical Garden of the University of Vienna,16.384166666 , 48.1925
Q679067,Wilhelma,9.20306 , 48.8053
Q686324,Botanical Garden of the University of Zurich,8.561105555 , 47.358647222
Q697970,Q697970,11.0156 , 49.6025
Q707660,Botanischer Garten München-Nymphenburg,11.5017 , 48.1625
Q730948,Jardin des plantes,2.359722222 , 48.843888888
Q739334,Botanical Garden of Brussels,4.365278 , 50.854722
Q765568,Jardin botanique de la Charme,3.1238 , 45.7999
Q767907,Jardin botanique de Caen,-0.37159 , 49.1891
Q768376,The Japanese Garden,-118.481 , 34.1837
Q769851,Botanischer Garten Gera,12.0878 , 50.8758
Q770229,Q770229,139.849864 , 35.959842
Q776863,Shinjuku Gyoen,139.708333 , 35.688611
Q796229,Earl Burns Miller Japanese Garden,-118.12 , 33.7852
Q819663,Q819663,9.69876 , 52.3941
Q819811,Bergianska trädgården,18.046111111 , 59.369722222
Q820209,Späth-Arboretum,13.4748 , 52.4549
Q824180,Botanischer Garten der Universität des Saarlandes,7.0378 , 49.2545
Q824193,Sichtungsgarten Weihenstephan,11.728991666 , 48.400755555
Q827373,Botanischer Garten Universität Rostock,12.0931 , 54.0907
Q827398,Botanischer Garten Bielefeld,8.51 , 52.0147
Q827406,Forstbotanischer Garten Tharandt,13.57819 , 50.984363
Q827435,Q827435,20.517777777 , 54.737222222
Q827442,Usedom Botanical Gardens,14.016666666 , 53.916666666
Q830674,Botanischer Garten Schellerhau,13.6997 , 50.7678
Q831148,Buenos Aires Botanical Garden,-58.418597222 , -34.582469444
Q833862,Botanischer Garten Chemnitz,12.889 , 50.8495
Q834198,Botanischer Garten Gießen,8.67889 , 50.5864
Q836254,Exotenwald Weinheim,8.675 , 49.5408
Q838392,Kadoorie Farm and Botanic Garden,114.118 , 22.4335
Q841037,National Botanic Gardens,-6.271416666 , 53.372638888
Q841650,The State Botanical Garden of Georgia,-83.379472 , 33.901389
Q843141,"Nanjing Botanical Garden, Memorial Sun Yat-Sen",118.830833333 , 32.057222222
Q848416,Botanical Garden,19.23579 , 47.70917
Q848422,Botanical Garden of Naples,14.262462 , 40.861359
Q848820,Kiseki No Hoshi Greenhouse,135.00841667 , 34.56177778
Q870156,Rennsteiggarten Oberhof,10.7194 , 50.6925
Q870486,Botanischer Garten der Universität Ulm,9.96667 , 48.4194
Q870492,Stadtpark und Botanischer Garten Gütersloh,8.391 , 51.8979
Q871292,Botanischer Garten der Johannes Gutenberg-Universität Mainz,8.24369 , 49.9923
Q873682,Botanischer Garten der Technischen Universität Braunschweig,10.5331 , 52.2708
Q873964,Forstbotanischer Garten Köln,6.97944 , 50.885
Q873982,Herzogspark,12.0822 , 49.0231
Q874042,Botanischer Garten Krefeld,6.60306 , 51.3325
Q875233,Gruson-Gewächshäuser,11.6316 , 52.1138
Q875332,Botanischer Garten der Universität Heidelberg,8.66778 , 49.4148
Q875673,Botanische Staatssammlung München,11.5008 , 48.1641
Q877692,Botanischer Garten Münster,7.61056 , 51.9637
Q877915,Landesarboretum Baden-Württemberg,9.20778 , 48.7092
Q877942,Botanischer Garten der Universität Duisburg-Essen,6.98139 , 51.4281
Q878970,Lehmann-Garten,13.5273 , 53.1251
Q879081,Botanical garden of Düsseldorf,6.8025 , 51.1869
Q880814,Bunter Garten,6.43389 , 51.2039
Q882377,Botanischer Garten der Ruhr-Universität Bochum,7.2675 , 51.4419
Q883976,Botanischer Garten der TU Darmstadt,8.67861 , 49.8692
Q890543,Edgewood Botanic Garden,-122.56 , 37.9028
Q890625,Hakone Gardens,-122.041 , 37.2524
Q891066,Bois des Moutiers,0.98305556 , 49.91166667
Q891197,Bok Tower Gardens,-81.5775 , 27.935333
Q892711,University of Copenhagen Botanical Garden,12.573888888 , 55.686944444
Q894579,Public Garden,-71.0699 , 42.3541
Q894630,Q894630,13.395277777 , 52.604722222
Q894633,Q894633,8.85228 , 53.0663
Q894635,Yerevan Botanical Garden,44.557064 , 40.21083
Q894636,Madeira Botanical Garden,-16.89583333 , 32.66222222
Q894638,Q894638,-16.6755 , 13.478388888
Q894639,Bern Botanical Garden,7.444652777 , 46.952825
Q894642,Q894642,6.79725 , 51.4358
Q894643,Batumi Botanical Garden,41.719783333 , 41.692716666
Q894645,Botanische Garten der Martin-Luther-Universität Halle-Wittenberg,11.9614 , 51.4889
Q894646,Giardini Botanici Hanbury,7.55559 , 43.782698
Q894647,Q894647,10.1167 , 54.3481
Q894648,Jevremovac,20.47388889 , 44.81527778
Q894649,Q894649,15.07444382 , 50.77886082
Q894650,A.V. Fomin Botanical Garden,30.503888888 , 50.443055555
Q894651,Trauttmansdorff Castle Gardens,11.18555556 , 46.66027778
Q894652,Montreal Botanical Garden,-73.556805555 , 45.557222222
Q894653,Moscow Botanical Garden of Academy of Sciences,37.600833333 , 55.839166666
Q894654,Nikitsky Botanical Garden,34.2328 , 44.5094
Q894656,Orto botanico di Palermo,13.37361111 , 38.11194444
Q894657,Beijing Botanical Garden,116.20934 , 39.992789
Q894658,Botanical Gardens of Tirana,19.80604167 , 41.30991111
Q894659,Q894659,-21.87 , 64.14166667
Q894660,National Botanical Garden of Georgia,44.8075 , 41.686111111
Q894661,Zagreb Botanical Garden,15.971782 , 45.804864
Q894664,Jardin botanique de la Ville de Paris,2.36 , 48.844722222
Q894665,Cambridge University Botanic Garden,0.12789 , 52.1938
Q894668,Q894668,9.23472 , 49.1512
Q894670,Orto botanico di Pisa,10.395833333 , 43.719722222
Q895589,Forstbotanischer Garten Eberswalde,13.7961 , 52.8251
Q895891,Boyce Thompson Arboretum State Park,-111.158333333 , 33.279166666
Q910282,Palmitos Park,-15.616111111 , 27.835277777
Q4998,Ringve Botanical Garden,10.4523 , 63.4483
Q8668,Jardin botanique de Lyon,4.8564 , 45.7754
Q24185,Exbury Gardens,-1.4005 , 50.7986
Q24433,Gibraltar Botanic Gardens,-5.3511 , 36.1313
Q45242,Rio de Janeiro Botanical Garden,-43.223889 , -22.9675
Q54489,Royal Botanic Gardens,151.2175 , -33.862222
Q56046,Boxerwood Gardens,-78.85 , 38.4833
Q63203,Hiroshima Botanical Garden,132.34694444 , 34.39191667
Q94923,Botanical Garden of Curitiba,-49.23944444 , -25.44277778
Q153256,Ruth Bancroft Garden,-122.037 , 37.9238
Q153541,Botanical Garden of Mérida,-71.133333333 , 8.616666666
Q153748,Q153748,50.183 , 53.02
Q153829,Alter Botanischer Garten,11.5641 , 48.1416
Q163255,Botanic Garden and Botanical Museum Berlin-Dahlem,13.3036 , 52.455
Q174823,Ökologisch-Botanischer Garten der Universität Bayreuth,11.5854 , 49.9235
Q188617,Kew Gardens,-0.295466666 , 51.474666666
Q195786,Q195786,14.4154 , 50.1187
Q200711,Lal Bagh,77.59 , 12.95
Q202120,Luisenpark,8.4974 , 49.4827
Q220064,Parc Zoologique et Botanique de Mulhouse,7.34794444 , 47.73616667
Q225403,Botanischer Garten Rombergpark,7.4684 , 51.4807
Q256160,King's House on Schachen,11.112586111 , 47.419697222
Q262120,Olive Pink Botanic Garden,133.885 , -23.7064
Q289277,Kirstenbosch National Botanical Garden,18.430277777 , -33.989444444
Q296170,Botanischer Garten der Universität Osnabrück,8.02793 , 52.2814
Q317714,Botanischer Garten Jena,11.5861 , 50.9311
Q318081,Botanischer Garten Wuppertal,7.16055556 , 51.26027778
Q319334,Botanischer Garten der Johann Wolfgang Goethe-Universität Frankfurt am Main,8.65833 , 50.1272
Q320082,Flora und Botanischer Garten Köln,6.97083 , 50.9611
Q321565,Botanical Garden,13.0252 , 52.4041
Q321575,Botanischer Garten der Technischen Universität Dresden,13.7596 , 51.0442
Q322634,Botanische Gärten der Friedrich-Wilhelms-Universität Bonn,7.09167 , 50.7247
Q323124,Botanischer Garten Erlangen,11.0067 , 49.5992
Q323954,Leipzig Botanical Garden,12.3913 , 51.3287
Q323980,Botanischer Garten Marburg,8.80938 , 50.803
Q328081,Rosarium Uetersen,9.66981 , 53.6838
Q328729,Rhododendron-Park Bremen,8.88611 , 53.0917
Q328848,Freiburg Botanical Garden,7.85833 , 48.0097
Q373040,Parc botanique de Kerbihan,-3.2677 , 47.806
Q378480,Jardin des Olfacties,-1.7628 , 46.6968
Q384815,East Texas Arboretum and Botanical Society,-95.8785 , 32.2129
Q385057,Cornell Plantations,-76.472 , 42.45
Q429533,Q429533,3.06466389 , 39.3423
Q437788,"Old Botanical Garden, Kiel",10.1469 , 54.3308
Q437790,Alter Botanischer Garten Marburg,8.77236 , 50.8124
Q437802,"Old Botanical Garden, Zurich",8.533611111 , 47.371111111
Q446505,Europa-Rosarium,11.3148 , 51.4752
Q458588,Belle Isle Park,-82.9867 , 42.3403
Q474085,Botanischer Garten Augsburg,10.9148 , 48.3499
Q475580,Botanischer Garten Karlsruhe,8.40044 , 49.0131
Q478245,Inhotim,-44.218785 , -20.124128
Q478839,Arizona-Sonora Desert Museum,-111.168055555 , 32.243888888
Q486315,Yeomiji Botanical Garden,126.415 , 33.2518
Q503498,Jerusalem Botanical Gardens,35.200088 , 31.76873
Q509884,Australian National Botanic Gardens,149.109166666 , -35.278888888
Q510585,Albury Botanic Gardens,146.909 , -36.081
Q517377,Jardin botanique de la Font de Bézombes,3.50416667 , 43.65055556
Q527767,Bursa Botanic Park,29.039497 , 40.219463
Q528505,Rotary Botanical Gardens,-89.0164 , 42.6839
Q536819,Lauritzen Gardens,-95.9161 , 41.2344
Q538819,Memphis Botanic Garden,-89.9595 , 35.1241
Q543379,Oregon Garden,-122.792 , 44.9952
Q558491,Fell Arboretum,-88.9935 , 40.5108
Q559261,Washington Park,-89.65 , 39.783
Q570148,Old Botanical Garden of Göttingen University,9.9367 , 51.5382
Q574117,Starhill Forest Arboretum,-89.8017 , 39.935
Q574773,Herrenhausen Gardens,9.698333333 , 52.391666666
Q577644,Ladd Arboretum,-87.7006 , 42.0568
Q582317,Q582317,2.9111 , 42.9331
Q589884,San Francisco Botanical Garden,-122.47 , 37.7675
Q596723,Cluj-Napoca Botanical Garden,23.5867 , 46.7603
Q598892,Orto botanico di Padova,11.880555555 , 45.398888888
Q600792,University of Basel Botanical Garden,7.581666666 , 47.558611111
Q600863,Gardens of Augustus,14.24338889 , 40.54750278
Q604550,jardin des serres d'Auteuil,2.252222 , 48.846944
Q604699,Lilacia Park,-88.0205 , 41.8852
Q606827,Jindai Botanical Garden,139.54591 , 35.67136
Q607584,Sonnenberg Gardens and Mansion State Historic Park,-77.2725 , 42.9
Q609012,The Gardens at SIUE,-89.9928 , 38.8088
Q609930,Dinosaur State Park and Arboretum,-72.6568 , 41.6505
Q609992,Red Butte Garden and Arboretum,-111.824 , 40.766
Q613250,Botanischer Garten Hamburg,9.86111111 , 53.56222222
Q615695,Gardenview Horticultural Park,-81.8319 , 41.3128
Q618248,Inniswood Botanical Garden and Nature Preserve,-82.9214 , 40.1236
Q618523,Cox Arboretum and Gardens MetroPark,-84.2241 , 39.6552
Q621956,Chadwick Arboretum,-83.0298 , 40.0095
Q621967,Stanley M. Rowe Arboretum,-84.3397 , 39.1992
Q623333,Cincinnati Zoo and Botanical Garden,-84.508 , 39.145
Q628828,Stanford University Arboretum,-122.168 , 37.433
Q629949,Cape Fear Botanical Garden,-78.8589 , 35.0542
Q630118,Jardin botanique de la Ville de Nice,7.2101 , 43.6851
Q630395,Arboretum Bad Grund,10.2286 , 51.8199
Q630410,Ellerhoop-Thiensen Arboretum,9.77642 , 53.7173
Q630433,Arboretum Lohbrügge,10.19916667 , 53.50388889
Q630459,Arboretum Park Härle,7.16911 , 50.7152
Q632716,Domaine du Rayol,6.4806 , 43.1554
Q632833,Lancetilla Botanical Garden,-87.41666667 , 15.75
Q633365,Japanese Friendship Garden,-121.861111111 , 37.322222222
Q636275,New York Botanical Garden,-73.878333 , 40.863611
Q2859716,Arboretum de la Vallée-aux-Loups,2.26861111 , 48.77277778
Q2859717,Poërop Arboretum,-3.74 , 48.357
Q2859718,Arboretum de l'École du Breuil,2.45638889 , 48.82138889
Q2859723,Arboretum municipal de Verrières-le-Buisson,2.27027778 , 48.75166667
Q2876503,Giardino delle Orchidee Spontanee del Mediterraneo,12.08333333 , 41.95
Q2878518,Q2878518,125.7467998 , 39.0187
Q2879127,Giardino Botanico di Valbonella,11.78 , 43.86
Q2879615,Q2879615,28.28333333 , -15.41666667
Q2881810,Bambouseraie de Prafrance,3.9772224 , 44.0703204
Q2882456,Orto Botanico di Brera,9.1871 , 45.4727
Q2883914,York Museum Gardens,-1.08806 , 53.9614
Q2886410,Lotusland,-119.657 , 34.443
Q2886576,Houston Arboretum and Nature Center,-95.452 , 29.7652
Q2887063,Huckleberry Botanic Regional Preserve,-122.19 , 37.845
Q2889004,Q2889004,-70.24916667 , 8.63527778
Q2893656,Q2893656,-116.995192 , 32.6424543
Q2894419,Jardin Musée de Limeuil,0.88916667 , 44.88638889
Q2896269,Robert Allerton Park,-88.65 , 39.998
Q2915575,Queen Sirikit Park,100.55 , 13.80666667
Q2916832,"Orto Botanico delle Alpi Apuane ""Pietro Pellegrini""",10.19070278 , 44.05789722
Q2917011,Q2917011,24.0387 , 56.9533
Q2917039,Giardino Botanico Alpino di Passo Coe,11.18333333 , 45.91666667
Q2919730,Chicago Botanic Garden,-87.79 , 42.148333333
Q2919885,Q2919885,-79.9087754 , -2.0798505
Q2943261,Cave Hill Cemetery,-85.715833 , 38.245556
