item,label,lon,lat
Q597055,Nukus Museum of Art,59.60222222 , 42.46472222
Q597318,Malye Korely,40.94583333 , 64.45416667
Q597398,Haifa Museum of Art,34.9925 , 32.815
Q597912,Cider Museum,-5.50361 , 43.3583
Q598646,Olympic Museum,6.633888888 , 46.508611111
Q598975,Uniseum,7.84863 , 47.995345
Q601223,Eise Eisinga Planetarium,5.543965 , 53.187348
Q603939,Q603939,12.50111111 , 41.90916667
Q605210,Cloppenburg Museum Village,8.05111 , 52.8489
Q605463,Ullens Center for Contemporary Art,116.488 , 39.9891
Q608318,Antonín Dvořák Museum,14.426979 , 50.073668
Q608779,Jewish Community Centre of Krakow,19.944866666 , 50.052925
Q609692,Brussels Tram Museum,4.43389 , 50.83139
Q611062,Q611062,2.90416667 , 48.97138889
Q613201,Nikola Tesla Museum,20.4707 , 44.8051
Q613228,Q613228,8.56194 , 54.6872
Q614450,Palais de la Découverte,2.310833333 , 48.866111111
Q615930,Phuthadikobo Museum,26.1521 , -24.3878
Q616017,Yitzhak Rabin Center,34.7998 , 32.1029
Q616329,Museo del Grabado de Goya,-0.92513 , 41.3358
Q619713,Nehru Memorial Museum & Library,77.198774 , 28.602608
Q620535,Q620535,6.76427 , 50.5547
Q620547,Q620547,8.3434 , 48.2899
Q620550,Q620550,10.9714 , 49.0313
Q622913,Puke Ariki,174.07166667 , -39.05
Q623176,Q623176,6.85556 , 51.4433
Q623210,Q623210,6.74972 , 51.2564
Q623662,Romanian Peasant Museum,26.083677777 , 44.454383333
Q624008,National Building Museum,-77.018056 , 38.8975
Q625590,Museum of Occupations,24.73943056 , 59.43264722
Q625749,Tteok Museum,126.991 , 37.5749
Q625781,Kimchi Field Museum,127.0588 , 37.5125
Q626115,Tibet Museum,126.98211 , 37.58023
Q626736,Hwajeong Museum,126.965919 , 37.604789
Q626811,Independence Hall of Korea,127.22297 , 36.78358
Q627507,Q627507,10.365 , 53.43388889
Q629197,Israel Defense Forces History Museum,34.76138889 , 32.0575
Q630433,Arboretum Lohbrügge,10.19916667 , 53.50388889
Q630745,Nassau Public Library,-77.340530555 , 25.076477777
Q630922,Beit Al Quran,50.5915421 , 26.2397585
Q631349,Náprstek Museum,14.416444 , 50.08405
Q634421,Centre de Documentació i Museu de les Arts Escèniques,2.15775 , 41.37119722
Q635570,Q635570,16.3789 , 48.2094
Q636509,Q636509,11.1809 , 48.737
Q636513,Q636513,10.4222 , 49.4972
Q636562,Archäologiemuseum Oberfranken,11.0556 , 49.7203
Q636787,Q636787,10.323 , 47.7276
Q636821,Archäologisches Freilichtmuseum Funkenburg,10.9181 , 51.2389
Q636833,Q636833,8.83388889 , 47.7625
Q636865,Q636865,12.5631 , 52.4061
Q638130,Q638130,10.9582 , 49.0307
Q638393,Q638393,10.9706 , 49.0316
Q638502,Roman Museum Weißenburg,10.9702 , 49.0318
Q642039,Banqueting House,-0.1256 , 51.5044
Q642825,Musée des Collections Historiques de la Préfecture de Police,2.3482 , 48.8495
Q643731,Spøttrup Borg,8.78269444 , 56.63961111
Q644281,V&A Museum of Childhood,-0.055 , 51.5289
Q645504,Museo del fiore,11.924447 , 42.739745
Q648080,Q648080,3.11666667 , 45.89361111
Q649250,Royal Ontario Museum,-79.39468333 , 43.66757222
Q649933,Neuberg Abbey,15.578611111 , 47.663055555
Q650391,Garden of Archimedes,11.197 , 43.7733
Q650519,Musée Rodin,2.315819 , 48.855356
Q650999,Q650999,92.8725 , 56.00722
Q651366,Silesian regional museum Opava,17.903938 , 49.93429
Q653691,Q653691,92.8725 , 56.01361111
Q655864,Q655864,10.794097 , 45.378954
Q656296,Galerie nationale du Jeu de Paume,2.323888888 , 48.865833333
Q656957,Miraikan,139.77666667 , 35.61916667
Q657657,Q657657,6.16911111 , 49.35791667
Q658339,Numismatic Museum of Athens,23.7354 , 37.9778
Q658415,Nelson Rooms,-2.7147739 , 51.811361
Q658543,"Almásy Mansion, Tarnaméra",20.156391 , 47.650872
Q660452,Museum Autovision,8.50625 , 49.2981
Q660598,Erawan Museum,100.58888889 , 13.62833333
Q663764,Auschwitz-Birkenau concentration camp,19.175 , 50.03777778
Q663776,Museum of Modern Art of Algiers,3.05 , 36.7667
Q664766,Guido Gezellemuseum,3.23747 , 51.21485
Q664955,Q664955,16.486879 , 50.84287
Q666713,Globe Museum,16.3653 , 48.2093
Q667858,Bodmer Foundation,6.1806 , 46.2153
Q667906,Museum De Cruquius,4.63821 , 52.33801
Q668772,Alcázar de Colón,-69.88275 , 18.4775
Q669212,Arithmeum,7.10492 , 50.7306
Q670077,Royal Academy of Fine Arts of Saint Isabel of Hungary,-5.99106 , 37.3877
Q670212,Leiden American Pilgrim Museum,4.49363 , 52.157689
Q670268,Musée de l'Homme,2.2886 , 48.8627
Q672751,Swarovski Kristallwelten,11.6008 , 47.2939
Q673942,Arctic and Antarctic Museum,30.35359444 , 59.92750556
Q675326,Kunsthaus Bregenz,9.74778 , 47.5047
Q675774,Museum of Ethnology,9.98916667 , 53.56833333
Q675827,Dollhouse Museum,7.588888888 , 47.553888888
Q675877,Anahuacalli Museum,-99.14417 , 19.3225
Q676968,San Diego Museum of Man,-117.152 , 32.7314
Q679366,Muscle Shoals Sound Studio,-87.673889 , 34.767778
