item,label,lon,lat
Q16,Canada,-109.0 , 56.0
Q17,Japan,136.0 , 35.0
Q20,Norway,8.0 , 61.0
Q25,Wales,-3.637848 , 52.349602
Q27,Ireland,-8.0 , 53.0
Q28,Hungary,19.0 , 47.0
Q29,Spain,-3.0 , 40.0
Q30,United States of America,-100.0 , 40.0
Q31,Belgium,5.0 , 51.0
Q32,Luxembourg,6.13 , 49.77
Q33,Finland,26.0 , 64.0
Q34,Sweden,15.0 , 61.0
Q35,Denmark,10.0 , 56.0
Q36,Poland,19.0 , 52.0
Q37,Lithuania,24.0 , 55.5
Q38,Italy,12.0 , 43.0
Q39,Switzerland,8.231973 , 46.798562
Q40,Austria,14.0 , 48.0
Q41,Greece,22.0 , 39.0
Q43,Turkey,36.0 , 39.0
Q45,Portugal,-9.183333333 , 38.7
Q55,Netherlands,5.55 , 52.316666666
Q77,Uruguay,-56.65 , -32.733333
Q79,Egypt,29.0 , 26.0
Q96,Mexico,-102.366667 , 23.316667
Q114,Kenya,37.85 , 0.4
Q115,Ethiopia,39.0 , 8.0
Q117,Ghana,-1.0 , 8.0
Q142,France,2.0 , 47.0
Q145,United Kingdom,-2.0 , 54.0
Q148,People's Republic of China,103.0 , 35.0
Q155,Brazil,-53.0 , -11.0
Q159,Russia,37.616666944 , 55.75
Q183,Germany,10.0 , 51.0
Q184,Belarus,28.046666666 , 53.528333333
Q189,Iceland,-17.986666666 , 64.830555555
Q191,Estonia,26.0 , 59.0
Q211,Latvia,25.0 , 57.0
Q212,Ukraine,32.0 , 49.0
Q213,Czech Republic,16.0 , 50.0
Q214,Slovakia,20.0 , 49.0
Q215,Slovenia,15.0 , 46.0
Q217,Moldova,28.516667 , 47.25
Q218,Romania,25.0 , 46.0
Q219,Bulgaria,25.5 , 42.75
Q221,Republic of Macedonia,21.716667 , 41.65
Q222,Albania,20.0 , 41.0
Q224,Croatia,15.466667 , 45.25
Q225,Bosnia and Herzegovina,18.0 , 44.0
Q227,Azerbaijan,47.7 , 40.3
Q228,Andorra,1.555277777 , 42.558333333
Q229,Cyprus,33.0 , 35.0
Q230,Georgia,43.733330555 , 42.016669444
Q232,Kazakhstan,68.0 , 48.0
Q233,Malta,14.5 , 35.883333333
Q235,Monaco,7.419744 , 43.731245
Q236,Montenegro,19.216667 , 42.766667
Q237,Vatican City,12.453 , 41.904
Q238,San Marino,12.466666666 , 43.933333333
Q241,Cuba,-79.5 , 22.0
Q242,Belize,-88.7 , 17.066666666
Q244,Barbados,-59.55 , 13.166666666
Q252,Indonesia,118.0 , -2.0
Q258,South Africa,24.0 , -29.0
Q262,Algeria,2.0 , 28.0
Q265,Uzbekistan,64.066667 , 41.666667
Q298,Chile,-71.0 , -31.0
Q334,Singapore,103.8 , 1.3
Q347,Liechtenstein,9.553889 , 47.145
Q398,Bahrain,50.551111 , 26.0675
Q399,Armenia,44.95 , 40.383333
Q403,Serbia,20.933333333 , 43.95
Q408,Australia,135.0 , -25.0
Q414,Argentina,-64.0 , -34.0
Q419,Peru,-78.0 , -8.0
Q423,North Korea,127.0 , 40.0
Q424,Cambodia,105.666667 , 12.733333
Q574,East Timor,125.75 , -8.966667
