item,label,lon,lat
Q28980,Manila Ocean Park,120.972486111 , 14.579305555
Q40682,Dolfinarium Harderwijk,5.6175 , 52.353889
Q81821,Hiroshima City Asa Zoological Park,132.44069 , 34.497856
Q114525,Flamingo Land Resort,-0.8082 , 54.2097
Q129322,Tierpark Bad Pyrmont,9.25166667 , 51.97972222
Q136330,ZOOM Erlebniswelt Gelsenkirchen,7.11094 , 51.5441
Q154828,Berlin Zoological Garden,13.3375 , 52.508333333
Q158859,Bitola Zoo,21.3415 , 41.0146
Q162722,Ueno Zoo,139.771388888 , 35.7175
Q165073,NaturZoo Rheine,7.42239 , 52.297
Q166851,Nordens Ark,11.435 , 58.441111111
Q202120,Luisenpark,8.4974 , 49.4827
Q219996,Zoo Aschersleben,11.4392 , 51.7522
Q220001,Zoo Atlanta,-84.369669444 , 33.73248
Q220003,Antwerp Zoo,4.423333 , 51.216389
Q220004,Augsburg Zoo,10.9144 , 48.3478
Q220009,Basel Zoo,7.578763888 , 47.547336111
Q220013,Barcelona Zoo,2.191194 , 41.387883
Q220014,Zoo Dortmund,7.47083 , 51.4744
Q220023,Buenos Aires Zoo,-58.42 , -34.58097222
Q220024,Dresden Zoo,13.7539 , 51.0369
Q220027,Dublin Zoo,-6.303888888 , 53.353888888
Q220029,Duisburg Zoo,6.80528 , 51.4353
Q220033,Hanover Zoo,9.771062 , 52.380537
Q220035,Heidelberg Zoo,8.66083 , 49.4153
Q220036,Frankfurt Zoological Garden,8.70314 , 50.1156
Q220037,Zoo Hoyerswerda,14.2486 , 51.4382
Q220041,Kaiserslautern Zoo,7.68056 , 49.4661
Q220043,Kathmandu Zoo,85.3109334 , 27.6731849
Q220045,Helsinki Zoo,24.984166666 , 60.175
Q220047,Zoo La Barben,5.205 , 43.62472222
Q220051,Zoo Landau,8.11083 , 49.2028
Q220053,Zoo Linz,14.2634 , 48.3104
Q220055,Leipzig Zoological Garden,12.3692 , 51.3489
Q220057,Copenhagen Zoo,12.521388888 , 55.672777777
Q220063,Lisbon Zoo,-9.17148117 , 38.74491267
Q220064,Parc Zoologique et Botanique de Mulhouse,7.34794444 , 47.73616667
Q220065,Q220065,7.5625 , 50.4531
Q220068,Zoo Osnabrück,8.07028 , 52.25
Q220070,Zoo Opole,17.92447 , 50.65504
Q220075,Rostock Zoo,12.0904 , 54.0781
Q220077,Zoo Safaripark Stukenbrock,8.68083 , 51.8892
Q220080,Salzburg Zoo,13.064075 , 47.756824
Q220083,Beijing Zoo,116.333333333 , 39.938611111
Q220084,Schmiding Zoo,13.9564 , 48.1944
Q220086,Prague Zoo,14.406111 , 50.116944
Q220087,Zoo Schwerin,11.4431 , 53.605
