item,label,lon,lat
Q2217373,Sammlung Industrielle Gestaltung,13.414 , 52.5403
Q2249970,Q2249970,9.96856 , 48.80153
Q2267622,Tresoar,5.79028 , 53.20333
Q2278527,Shetland Museum,-1.14778 , 60.1586
Q2281700,Q2281700,5.09411 , 51.55606
Q2324688,Q2324688,11.85208 , 49.44103
Q2324704,Q2324704,9.0448 , 52.2588
Q2324709,Q2324709,10.9661 , 50.2587
Q2324714,Staatsarchiv Freiburg,7.845858 , 47.998447
Q2324720,Staatsarchiv Leipzig,12.4729 , 51.346
Q2324736,Q2324736,11.0743 , 49.46267
Q2324745,Staatsarchiv München,11.5797 , 48.1464
Q2324747,Q2324747,8.21999 , 53.1341
Q2324755,Q2324755,9.21909 , 48.0867
Q2324767,Q2324767,10.5322 , 52.1818
Q2324771,Q2324771,9.93715 , 49.79265
Q2326534,Stadtarchiv Braunschweig,10.5276 , 52.2638
Q2326553,Q2326553,11.03145 , 50.98018
Q2326555,Q2326555,9.30654 , 48.7419
Q2326557,Q2326557,7.850883 , 47.99433
Q2326565,Q2326565,6.90136 , 51.43313
Q2326585,Q2326585,8.36628 , 49.6334
Q2326589,Q2326589,7.16709 , 51.25912
Q2346824,Eemland Archive,5.382744 , 52.1588743
Q2363238,Q2363238,11.5889 , 48.1297
Q2383910,State Archives in Kortrijk,3.266986111 , 50.829536111
Q2417184,Q2417184,13.06332 , 52.41754
Q2430952,Q2430952,10.41271 , 50.57057
Q2451825,Q2451825,10.6849 , 53.868
Q2496267,Q2496267,10.8866 , 48.353
Q2496275,Tübingen University Archives,9.0613 , 48.5249
Q2496277,Q2496277,15.30985 , 52.45213
Q2523295,Archives of the Royal Palace,4.364575 , 50.841688888
Q2529291,State Archives in Beveren,4.261513888 , 51.206469444
Q2565330,Q2565330,7.48024 , 51.50265
Q2565882,National Film and Sound Archive,149.121 , -35.283
Q2585819,Q2585819,9.21492 , 48.71238
Q2654413,Archive for Alternative Culture,13.3958 , 52.5127
Q2698890,Q2698890,7.84527778 , 47.99388889
Q2740329,State Archives in Bruges,3.233372222 , 51.208533333
Q2753709,State Archives in Ghent,3.722727777 , 51.047544444
Q2860409,Q2860409,13.7447 , 51.05152
Q2860416,Archives d'architecture moderne,4.36569 , 50.828733
Q2860422,State Archive of Naples,14.2593 , 40.8484
Q2860424,Q2860424,12.4742 , 41.8981
Q2860425,Q2860425,14.7582 , 40.6805
Q2860426,State Archive of the Russian Federation,37.57419444 , 55.73291667
Q2860429,Russian State Archive of Literature and Art,37.488093 , 55.834074
Q2860437,State Archives in Eupen,6.0403 , 50.631519444
Q2860442,State Archives in Tournai,3.380936111 , 50.609322222
Q2860519,Archives et Musée de la littérature,4.356388888 , 50.843333333
Q2860528,National Archives of Belgium,4.35662 , 50.84237
Q2860536,National Archives of Belgium 2 - Joseph Cuvelier depot,4.341719444 , 50.850963888
Q2860568,Archives of American Art,-77.0227 , 38.8979
Q2892902,Information Center for Israeli Art,35.204525 , 31.77237778
Q2903101,Central Zionist Archives,35.201 , 31.78686111
Q2910511,Q2910511,34.860361111 , 32.048416666
Q3359412,Amsab-Instituut voor Sociale Geschiedenis,3.726728 , 51.047602
Q3514826,Tamiment Library and Robert F. Wagner Archives,-73.9973 , 40.7295
Q3571546,General Archive of the Crown of Aragon,2.18750278 , 41.39546667
Q1396826,Q1396826,7.46678 , 53.4668
Q1404526,Q1404526,7.822131 , 47.978813
Q1432360,Ronald Reagan Presidential Library,-118.819744444 , 34.259516666
Q1435690,Cini Foundation,12.34333333 , 45.42916667
Q1450324,Q1450324,12.15864 , 48.52998
Q1476457,Q1476457,8.88094 , 51.9295
Q1485254,Q1485254,12.922 , 50.8215
Q1486075,Q1486075,13.3936 , 54.0933
Q1487017,State Archives of the Free and Hanseatic City of Hamburg,10.06888889 , 53.575
Q1487762,Rhenish Picture Archive,6.95073 , 50.94186
Q1502481,Q1502481,10.0148 , 53.2578
Q1530896,Glenbow Museum,-114.061 , 51.0452
Q1538497,Q1538497,11.1854 , 48.8917
Q1547461,Heilbronn  Municipal Archive,9.21807 , 49.1406
Q1566557,Russian State Archive of Socio-Political History,37.612331 , 55.762549
Q1573230,Q1573230,10.0012 , 53.5454
Q1576734,Cultural Center East Prussia,10.96416 , 49.06076
Q1589617,Q1589617,13.7471 , 51.0599
Q1589618,Q1589618,9.73056 , 52.3697
Q1589622,Q1589622,9.18444 , 48.7767
Q1590812,Q1590812,8.7616 , 50.1084
Q1591745,Reutlingen city archives,9.21093 , 48.49088
Q1596358,Q1596358,6.936 , 50.9402
Q1602963,Q1602963,8.23944 , 50.0633
Q1610731,Q1610731,13.31638 , 52.58025
Q1615559,Q1615559,9.53248 , 46.8489
Q1616000,Q1616000,8.65514 , 49.8754
Q1620974,Q1620974,7.00882 , 51.40733
Q1622060,Q1622060,6.08772 , 50.7723
Q1656471,Q1656471,10.50051 , 48.58398
Q1664997,Q1664997,8.67806 , 50.1092
Q1667697,Q1667697,8.72278 , 47.5111
Q1674348,Q1674348,7.05663611 , 49.24507222
Q1716784,Q1716784,7.59403 , 50.3624
Q1724217,Q1724217,7.00927 , 51.55248
Q1729042,Karbe Wagner Archive for Regional Historical Research,13.0696 , 53.3622
Q1739527,Q1739527,13.35207 , 52.49125
Q1749075,Thüringisches Staatsarchiv Gotha,10.711543333 , 50.947938333
Q1757995,Q1757995,9.22118 , 49.1458
Q1784746,Q1784746,10.5322 , 52.1818
Q1798476,Q1798476,7.63534722 , 51.96319444
Q1800276,Q1800276,10.89684 , 49.88463
Q1802097,Q1802097,13.3881 , 54.0922
Q1802098,North Rhine-Westphalia State Archives Rhineland Division,6.758068 , 51.437381
Q1802099,North Rhine-Westphalia State Archives Westphalia Division,7.63444 , 51.9655
Q1802229,Landeshauptarchiv Schwerin,11.4139 , 53.6265
Q1802231,Landesarchiv Sachsen-Anhalt,11.65958 , 52.12807
Q1802288,Q1802288,8.5331 , 52.0214
Q1802291,Q1802291,9.72735 , 52.3736
Q1806929,Q1806929,9.22543 , 48.7978
Q1865116,Literaturarchiv,11.7409 , 49.5048
Q1922991,Expatriate Archive Centre,4.308 , 52.090556
Q1978308,Drenthe Archive,6.56377 , 52.993431
Q1994066,State Archives in Brussels,4.317605555 , 50.837947222
Q2072397,Q2072397,6.90614 , 50.8285
Q2101569,Q2101569,13.39938 , 52.51343
Q2132453,State Archives in Leuven,4.701877777 , 50.881158333
Q2154134,Smithsonian Institution Archives,-77.0214 , 38.8861
Q2176121,Q2176121,4.781389 , 51.583889
Q2184731,State Archives in Hasselt,5.33 , 50.93
Q461,Internet Archive,-122.47156944 , 37.78230556
Q27901,German Music Archive,12.3967 , 51.3224
Q51080,central navy archive,30.109649 , 59.561234
Q94200,Joan Maragall Archive,2.14725278 , 41.40082222
Q156591,Yad Vashem,35.175555555 , 31.774166666
Q307807,Central Archive of the Russian Ministry of Defence,37.510230111 , 55.421468888
Q477051,General Archive of the Indies,-5.992777777 , 37.384722222
Q480470,Centro di Documentazione Ebraica Contemporanea,9.16691667 , 45.47672222
Q631641,SS. Cyril and Methodius National Library,23.336111111 , 42.694722222
Q634421,Centre de Documentació i Museu de les Arts Escèniques,2.15775 , 41.37119722
Q635510,Archiv Frau und Musik,8.65036 , 50.09225
Q635522,Archive of the Academy of Arts,13.37943 , 52.52793
Q635546,Hudson's Bay Company Archives,-97.1483 , 49.8891
Q635551,archive of the Max-Planck-Gesellschaft,13.27785 , 52.44679
Q635560,Archiv der Region Hannover,9.46313 , 52.5026
Q635571,Q635571,9.90903 , 51.32243
Q635573,Q635573,10.8956 , 48.3711
Q635575,Archiv der sozialen Demokratie,7.13471 , 50.70227
Q635579,Archiv des Erzbistums München und Freising,11.5713 , 48.1403
Q635608,Q635608,7.41343 , 51.4849
Q635612,Archive for Christian Democratic Policy,7.18522 , 50.7775
Q635613,Q635613,11.5473 , 48.1527
Q635639,Philatelic Archive in Bonn,7.13826 , 50.7064
Q635845,Q635845,13.36302778 , 38.11372222
Q639860,Stasi Records Agency,13.41344 , 52.52585
Q666063,National Library of Wales,-4.06846 , 52.4145
Q675617,Swiss Literary Archives,7.44955 , 46.94134
Q679141,Swiss Federal Archives,7.446508333 , 46.940447222
Q686443,Department of Planned Languages and Esperanto Museum,16.3653 , 48.2093
Q798038,Bach-Archiv Leipzig,12.37226 , 51.33865
Q807725,Barbarastollen underground archive,7.93591667 , 47.92296667
Q810200,Basis Wien,16.33507778 , 48.18960556
Q811389,Bauhaus Archive,13.3542 , 52.5061
Q812415,Bavarian War Archive,11.546 , 48.159
Q812456,Bavarian Economic Archive,11.5985 , 48.1244
Q819360,Bergarchiv Freiberg,13.3404 , 50.9205
Q821277,Berlin Document Center,13.2341 , 52.4507
Q850178,Bettmann Archive,-79.887 , 41.111
Q860581,Prussian Heritage Image Archive,13.40998 , 52.5128
Q864396,Q864396,7.1135 , 50.7221
Q882788,Prussian Privy State Archives,13.29277778 , 52.46111111
Q897953,Brandenburgisches Landeshauptarchiv,12.97074 , 52.41384
Q966013,Stadtarchiv Stralsund,13.0919 , 54.3169
Q1023323,Centre for Historical Research and Documentation on War and Society,4.338411111 , 50.840638888
Q1131877,Netherlands Institute for Sound and Vision,5.173056 , 52.235278
Q1205625,German film archive,8.28944444 , 50.05555556
Q1205757,Q1205757,8.26511 , 49.9993
Q1205863,Q1205863,12.0057 , 50.0307
Q1205987,Q1205987,11.08095556 , 49.45694722
Q1231602,Q1231602,9.18665 , 48.77905
Q1235186,Q1235186,8.81505 , 53.0732
Q1273361,Q1273361,10.32 , 50.975
Q1283726,Prussian State Archive Königsberg,20.494 , 54.7193
Q1303530,Q1303530,9.22088 , 49.1433
Q1309441,Q1309441,116.078888 , 5.95392
Q1382588,Bremen City Archive,8.81611 , 53.077
Q3621652,Florence State Archives,11.2707 , 43.7692
Q3621654,Q3621654,10.5048 , 43.8439
Q3621660,Q3621660,11.3328 , 43.3191
Q3664905,Q3664905,10.347165 , 44.8567706
Q3816331,Sant Andreu de Llavaneres Archive Museum,2.48662222 , 41.57200833
Q3816478,Vilassar de Dalt Archive-Museum,2.35673 , 41.5193
Q3816577,Cardadeu Tomàs Balvey Museum-Archive,2.35491389 , 41.63799722
Q3819476,Calella Josep M. Codina i Bagué Municipal Archive Museum,2.657277777 , 41.612833333
Q4070710,Archive of the President of the Russian Federation,37.6287549 , 55.7546581
Q4134099,Gaspico,49.6839499 , 58.6142972
Q4139147,The main archival department of the city of Moscow,37.5399333 , 55.6581104
Q4146440,Gosteleradiofond,37.604444444 , 55.820277777
Q4146766,State Archives of the Kostroma Region,40.973268 , 57.749212
Q4146771,State Archives of Krasnodar Region,39.0329907 , 45.0190446
Q4146772,State Archives of the Murmansk Region,33.079438888 , 68.981938888
Q4146775,State Archives of the Rostov Region,39.718572 , 47.224992
Q4146776,State Archives of the Tomsk Region,84.9392672 , 56.5101444
Q4146780,State Archives of the city of Ishimbai,56.0472679 , 53.4556697
Q4146783,State Archive of Contemporary History of Kostroma Region,40.961218 , 57.7601
Q4339426,Department of Cultural Heritage and Archives of the Ministry of Culture of the Kaliningrad Region,20.482367 , 54.724842
Q4351537,Perm State Archive of Recent History,56.224804 , 58.00646
Q4354050,Military Archives of Sweden,18.0985 , 59.3418
Q4398057,"Russian State Naval Archive, Saint Petersburg",30.318343 , 59.9411095
Q4398058,Russian State Film and Photo Archive,37.3414266 , 55.8204506
Q4398059,Russian State Archive of Ancient Documents,37.574556 , 55.732694
Q4398060,Russian State Archive of Economy,37.5753271 , 55.7335301
Q4398061,Russian State Military Historical Archive,37.684745 , 55.768029
Q4398065,Russian State Historical Archive,30.427222222 , 59.933888888
Q4504294,Central State Archive of Cinema and Photo Documents of St. Petersburg,30.378538888 , 59.947888888
Q4504307,Central historical archive of Moscow,37.5399333 , 55.6581104
Q4504324,Central United Archives of Educational Institutions in Moscow,37.66613 , 55.744046
Q4591838,Public Record Office of Northern Ireland,-5.95896667 , 54.56626944
Q4743983,American Heritage Center,-105.567 , 41.3147
Q4764154,Angus Library and Archive,-1.261 , 51.7573
Q4768770,Anne S. K. Brown Military Collection,-71.449563 , 41.858007
Q4787294,Archives of American Gardens,-77.0215 , 38.886
Q4787313,Archives of the University of Santo Tomas,120.98930556 , 14.60986111
Q4795791,Arquivo Edgard Leuenroth,-47.06846111 , -22.81473333
Q4836744,BT Archives,-0.1165 , 51.518
Q4946748,Borthwick Institute for Archives,-1.05211 , 53.94919
Q5001071,Bury Art Museum,-2.298854 , 53.591733
Q5062901,Centro de Documentación Musical de Andalucía,-3.593361111 , 37.179333333
Q5092971,Cheshire Record Office,-2.888 , 53.187
Q5116626,Church History Library,-111.89 , 40.7721
Q5118159,Churchill Archives Centre,0.10194444 , 52.21333333
Q5531705,General Archive of the Spanish Civil War,-5.66725 , 40.95969444
Q5643731,Archivo de la Fundación Sierra-Pambley,-5.56766389 , 42.59945278
Q5671855,Harry Ransom Center,-97.7412 , 30.2843
Q5702929,Archivo General del Ministerio de Justicia,-3.707538888 , 40.424155555
Q5702941,Archivo Histórico Provincial de Albacete,-1.85694444 , 38.99611111
Q5702943,Archivo Histórico Provincial de Cantabria,-3.81361111 , 43.45444444
Q5702946,Archivo Histórico Provincial de Ciudad Real,-3.92068611 , 38.98751389
Q5702951,Archivo Histórico Provincial de Cuenca,-2.12684989 , 40.08175278
Q5702954,Archivo Histórico Provincial de Córdoba,-4.777055555 , 37.883083333
Q5702958,Archivo Histórico Provincial de Guadalajara,-3.179916666 , 40.630805555
Q10926785,Taiwan Historica,120.701 , 23.937
Q11356300,Q11356300,6.13998 , 46.1843
Q11375271,Kyoto Prefectural Library and Achives,135.766417 , 35.050556
Q11405795,Q11405795,139.746492 , 35.693223
Q11906813,Archivo Fidel Fita,2.55142 , 41.5795
Q11909321,Archivo Histórico de Mahón,4.265 , 39.88972222
Q11970576,Q11970576,6.854434 , 61.181276
Q12009491,Vestfold Archives,10.17508333 , 59.13358333
Q12022215,Yad Yaari,35.02083333 , 32.45777778
Q12038677,Q12038677,16.5653 , 49.1756
Q12055562,Coventry History Centre,-1.5061 , 52.4072
Q12056841,Regional State Archives in Třeboň,14.7692 , 49.0034
Q12164153,Ukrainian Museum-Archives,-81.69021 , 41.479965
Q12309643,Exercerhuset,9.40714 , 56.4539
Q12310241,Danish National Business Archives,10.2001 , 56.1546
Q12404273,Q12404273,34.76975 , 32.064222222
Q12718614,Regional State Archives in Bergen,5.359955 , 60.38096194
Q13037117,National Archives of Albania,19.81277778 , 41.33555556
Q14531617,Q14531617,14.6244 , 51.7556
Q14563947,Landesarchiv,9.522758 , 47.137115
Q14564649,Max-Frisch-Archiv,8.54761 , 47.37659
Q14682062,Grateful Dead Archive,-122.05430556 , 36.97761111
Q14828326,Stadtarchiv Zerbst,12.08343 , 51.96372
Q15110429,Q15110429,8.756715 , 51.720259
Q15114770,Hessian State Archives,8.243523 , 50.078171
Q15307574,Archivo Histórico Provincial de Teruel,-1.105805555 , 40.345555555
Q15430691,Münster University Archive,7.5999687 , 51.9740495
Q15547069,Historical Provincial Archive of Huesca,0.4052 , 42.1395
Q15690131,Historical Provincial Archive of Zaragoza,-0.876583333 , 41.654444444
Q15805608,Q15805608,7.844977 , 47.998363
