item,label,lon,lat
Q4750134,An Lanntair,-6.38833 , 58.2083
Q4762236,Angel Orensanz Center,-73.9858 , 40.7211
Q4769573,Anno Domini,-121.886 , 37.3307
Q4796638,Art-Switch,0.0 , 51.5371
Q4796651,ArtGardens of Pittsburgh,-79.9769 , 40.4512
Q4796680,Art Arena,-1.38556 , 54.9019
Q4796735,Art Centre Salmela,26.8275 , 61.41175
Q4797024,Art Projects International,-74.0099 , 40.7227
Q4797206,Art in General,-74.001844444 , 40.718097222
Q4797211,Art in Perpetuity Trust,-0.0208 , 51.4769
Q4801300,Artists' Television Access,-122.42137 , 37.75701
Q4801400,Artpace,-98.4943 , 29.4298
Q4801437,Arts Club of Chicago,-87.6225 , 41.8933
Q4801555,Artspace,-72.9251 , 41.3044
Q4801559,Artspace Sydney,151.221 , -33.8694
Q4809147,Associated American Artists,-73.9753 , 40.7634
Q4810679,Asterisk Art Project,-73.938 , 40.7069
Q4813500,Athens Institute for Contemporary Art,-83.39 , 33.9697
Q4816049,Atlanta Contemporary Art Center,-84.3915 , 33.7621
Q4826107,Auto Italia South East,-0.123556 , 51.5386
Q4852693,Baltic Centre for Contemporary Art,-1.597777777 , 54.969166666
Q4860041,Bard Graduate Center,-73.917 , 42.0208
Q4866691,Basement 414,-84.547 , 42.733
Q4884230,Bellwether Gallery,-74.0062 , 40.7449
Q4886110,Ben Maltz Gallery,-118.41659 , 33.956727
Q4891432,Bergamot Station,-118.467 , 34.0277
Q4918850,Bitforms gallery,-74.00691667 , 40.74651389
Q4929912,Blue Star Contemporary Art Center,-98.4957 , 29.4097
Q4936656,Bodley Gallery,-73.9649 , 40.7619
Q4937134,Boeing Galleries,-87.6227 , 41.8827
Q4938112,Bohemian National Home,-83.0904 , 42.3328
Q4947209,Bose Pacia Gallery,-73.98704444 , 40.70381667
Q4948083,Boston Sculptors Gallery,-71.066 , 42.3424
Q4974144,Bronwyn Keenan Gallery,-74.0005 , 40.7197
Q4978279,Bruce Silverstein Gallery,-74.0053 , 40.7492
Q4982876,Buck House NYC,-73.956 , 40.785
Q5004105,Bykert Gallery,-73.9754 , 40.7636
Q5004361,Byron Gallery,-73.96059444 , 40.77918333
Q5006482,C. Grimaldis Gallery,-76.6154 , 39.2959
Q5013878,CRG Gallery,-74.0056 , 40.7557
Q5028175,Campbell Works,-0.0707 , 51.5655
Q5029867,Canadian Clay and Glass Gallery,-80.5263 , 43.465
Q5035842,Capitol Arts Center,-86.441 , 36.99367
Q5039534,"Caricature Museum, Mexico City",-99.13272222 , 19.43563889
Q5040174,Carl Freedman Gallery,-0.081259 , 51.525342
Q5047877,Casa Roig,-65.826944 , 18.150833
Q5048527,Casey Kaplan gallery,-74.00634167 , 40.74705833
Q5059504,Center for Architecture,-73.998611111 , 40.72875
Q5059528,Center for Book Arts,-73.9899 , 40.7448
Q5062331,Centre d'Art la Panera,0.62204722 , 41.61775
Q5062389,Centre for Contemporary Photography,144.982 , -37.7972
Q5062814,Centro Cultural de España,-99.13263333 , 19.43499722
Q5077332,Charles Egan Gallery,-73.9715 , 40.7619
Q5086388,Charm City Art Space,-76.6178 , 39.3093
Q5099574,China Art Objects Galleries,-118.37702 , 34.03516
Q5112439,Christopher Grimes Gallery,-118.486551 , 34.017585
Q5142722,Colección Jumex,-99.2033 , 19.4406
Q5163308,Consolidated Works,-122.335277777 , 47.623611111
Q5164960,Contemporary Art Museum St. Louis,-90.235 , 38.6405
Q5164961,Contemporary Art Gallery,-123.122 , 49.2797
Q5164962,Contemporary Arts Center,-84.5122 , 39.1029
Q5170164,Core Gallery,-0.021 , 51.4774
Q5173837,Cosanti,-111.942 , 33.5668
Q5192277,Cubitt Artists,-0.107274 , 51.5325
Q5243580,Dayton Visual Arts Center,-84.1903 , 39.7618
Q5253245,Delaware Center for the Contemporary Arts,-75.56 , 39.7389
Q5261498,Derby QUAD,-1.4755 , 52.9232
Q5268141,Deweer Gallery,3.438986 , 50.797227
Q5278438,Dinnerware Artspace,-110.977152 , 32.227526
Q5346969,Edwynn Houk Gallery,-73.9731 , 40.7633
Q5350016,Eiteljorg Museum of American Indians and Western Art,-86.1678 , 39.7683
Q5359713,Elevator Gallery,-0.0227 , 51.5428
Q5381420,Envoy enterprises,-73.9934 , 40.7194
Q5454287,Firstsite,0.906 , 51.889
Q5454409,Fischbach Gallery,-74.00600833 , 40.74985
Q5454820,Fisher Landau Center,-73.933125 , 40.75346389
Q5461026,Florian Papp,-73.9638 , 40.7743
Q5472294,Fort Wayne Museum of Art,-85.1358 , 41.0814
Q5474002,Fotografisk Center,12.561877843 , 55.668503524
Q5477224,Q5477224,28.211194 , 61.062556
Q7007729,New Gallery,-0.139 , 51.5106
Q7018212,Newhouse Center for Contemporary Art,-74.1023 , 40.64391667
Q7018371,Newlyn Art Gallery,-5.551 , 50.102
Q7058364,Northern Gallery for Contemporary Art,-1.382 , 54.911
Q7061181,Norwegian Museum of Contemporary Art,10.7411 , 59.9085
Q7063622,Nottingham Contemporary,-1.1458 , 52.9511
Q7124998,Painted Bride Art Center,-75.1439 , 39.9557
Q7132629,Paper Heart Gallery,-112.084 , 33.4532
Q7135980,Parasol unit foundation for contemporary art,-0.095 , 51.5302
