item,label,lon,lat
Q10697,Cologne Public Library,6.94931 , 50.9342
Q10700,Germania Judaica,6.94907 , 50.93401
Q33018,House of Wisdom,44.3836 , 33.3423
Q47976,Old Swansea Central Library,-3.94389 , 51.6236
Q48656,Berlinka,19.9236 , 50.0615
Q50711,Duchess Anna Amalia Library,11.332222222 , 50.978611111
Q52976,Raczyński Library,16.92863889 , 52.40844444
Q93844,Marx Memorial Library,-0.1057 , 51.5229
Q94200,Joan Maragall Archive,2.14725278 , 41.40082222
Q114732,State library Styria,15.4383 , 47.0683
Q119684,Malmö City Library,12.994444444 , 55.600555555
Q176893,Donaueschingen court library,8.49918 , 47.95219
Q181372,Santa Clara County Library,-121.966 , 37.2552
Q189928,Berlin Central and Regional Library,13.40446 , 52.51526
Q190255,Zentralbibliothek Solothurn,7.529722222 , 47.209722222
Q190256,European Commission Library,4.378028 , 50.84117
Q200899,University of Groningen Library,6.562867 , 53.218899
Q212595,Q212595,1.109123 , 41.154321
Q219555,New York Public Library,-73.9818 , 40.7527
Q256507,Bavarian State Library,11.58015 , 48.14751
Q257342,Carnegie Library of Reims,4.03544444 , 49.25297222
Q284001,Human and Social Sciences Library Paris Descartes-CNRS,2.3325 , 48.8556
Q294145,Public library Olang,12.032438 , 46.75933
Q301235,Aargauer Kantonsbibliothek,8.044631344 , 47.38990313
Q303798,Österreichische Mediathek,16.3487 , 48.1923
Q304037,Austrian National Library,16.36626667 , 48.20614167
Q304668,Admont Abbey Library,14.4606 , 47.5758
Q315883,Bibliotheca Philosophica Hermetica,4.878833 , 52.373577
Q317179,German National Library of Economics,10.15611111 , 54.33833333
Q317950,Württembergische Landesbibliothek,9.18506 , 48.7772
Q324689,Bamberg State Library,10.882333333 , 49.891855555
Q339759,Bibliotheca Hertziana – Max Planck Institute of Art History,12.48414 , 41.90534
Q367840,University of Sydney Library,151.190277777 , -33.886666666
Q380142,Adyar Library,80.26268056 , 13.01087222
Q383931,Royal Library of Belgium,4.356389 , 50.843333
Q391976,Chester Beatty Library,-6.267 , 53.342
Q435387,Library of Kloster Ottobeuren,10.2981 , 47.9414
Q467903,Amerika-Gedenkbibliothek,13.3917 , 52.4964
Q478013,Boston Athenæum,-71.062158 , 42.358044
Q501851,Bibliotheca Alexandrina,29.909166666 , 31.208888888
Q517249,Sainte-Geneviève Library,2.345833333 , 48.847083333
Q523282,Q523282,12.51977778 , 41.96055
Q526170,Biblioteca Museu Víctor Balaguer,1.725833333 , 41.224444444
Q534403,European Solidarity Centre,18.649421 , 54.361234
Q539405,Cantonal Library of Appenzell Ausserrhoden,9.46505 , 47.40766
Q545136,Anhaltinian regional library,12.2472 , 51.8355
Q570133,Hessian State Library,8.23739 , 50.0778
Q574027,Nobel Library,18.07111111 , 59.32536111
Q575153,International Youth Library,11.4564 , 48.1631
Q615602,Conrad Schick Library,35.2291 , 31.7761
Q615635,Lovejoy Library,-89.9977 , 38.7938
Q616272,Shanghai Library,121.44 , 31.20916667
Q618339,Namsan Public Library,126.981 , 37.553
Q618626,Gladstone's Library,-3.02729 , 53.1859
Q619713,Nehru Memorial Museum & Library,77.198774 , 28.602608
Q620739,Zeeland Library,3.6158 , 51.4963
Q620788,Leighton Library,-3.965 , 56.189
Q620968,Fővárosi Szabó Ervin Könyvtár,19.0648 , 47.48937778
Q620999,Hector Hodler Library,4.4644 , 51.9138
Q621972,Quaid-e-Azam Library,74.3317 , 31.5545
Q622913,Puke Ariki,174.07166667 , -39.05
Q622974,Hocken Library,170.518 , -45.8698
Q625387,Library of Jonava,24.27652778 , 55.07347222
Q630086,Municipal Library of Porto,-8.6017 , 41.1461
Q630461,Bibliothèque nationale et universitaire,7.756111111 , 48.587222222
Q630745,Nassau Public Library,-77.340530555 , 25.076477777
Q630847,Libri Prohibiti,14.4299 , 50.0859
Q630893,Prague National Technical Library,14.39055556 , 50.10388889
Q630922,Beit Al Quran,50.5915421 , 26.2397585
Q631064,Garrison Library,-5.35215 , 36.138966
Q634421,Centre de Documentació i Museu de les Arts Escèniques,2.15775 , 41.37119722
Q637972,City Library Weißenburg,10.97 , 49.0288
Q638198,Historical Council Library,10.9716 , 49.0327
Q638395,Leiden University Library,4.48111 , 52.1575
Q655507,Deutsche Fotothek,13.73674 , 51.02781
Q663820,Herzog August Library,10.533 , 52.167
Q667858,Bodmer Foundation,6.1806 , 46.2153
Q669509,Burgerbibliothek Bern,7.4483 , 46.9473
Q670848,Centre international de recherches sur l'anarchisme,6.6454 , 46.5263
Q678331,Cantonal Library Lugano,8.95955 , 46.0043
Q680701,"Parker Library, Corpus Christi College",0.117792 , 52.2038
Q683842,Basel University Library,7.5812 , 47.5594
Q688663,Armitt Library,-2.9633 , 54.4343
Q689896,Abbey library of St. Gallen,9.3764 , 47.4228
Q700621,Grand People's Study House,125.749656 , 39.020179
Q707258,Tsuruma Central Library,136.917375 , 35.154489
Q728116,Folger Shakespeare Library,-77.003172 , 38.889361
Q744406,Library of Celsus,27.34075 , 37.939138888
Q751526,German library Helsinki,24.94916667 , 60.16583333
Q766670,Library of the Medical Association Hamburg,9.985585 , 53.564706
Q772557,Budapest University Library,19.0569 , 47.4927
Q774570,Bibliothèque Mazarine,2.33694444 , 48.85722222
Q790646,Avery Architectural and Fine Arts Library,-73.961 , 40.8082
Q791371,Q791371,23.578033 , 46.069419
Q799084,Baden State Library,8.39917 , 49.0078
Q815611,Biblioteca Ambrosiana,9.1854 , 45.4631
Q821763,Central and Regional Library Berlin,13.4041 , 52.5156
Q856360,Q856360,21.23106389 , 45.74789722
Q856362,Q856362,13.69388889 , 37.98722222
Q856375,Almeida Garrett Library,-8.62681389 , 41.14806667
Q856391,Biblioteca Polaca Ignacio Domeyko,-58.42555556 , -34.58527778
Q856422,Bibliotheca Bipontina,7.36659 , 49.2495
Q856459,Library of Otto Schäfer,10.2479 , 50.0514
Q856461,Library Terlano,11.24967 , 46.52914
Q856462,National Library of Kosovo,21.1622 , 42.6572
Q856466,Library Am Guisanplatz,7.463055555 , 46.959305555
Q856475,Bibliothek Zug,8.51518 , 47.1645
Q856478,Querini Stampalia Library,12.34194444 , 45.43772222
Q856479,Library of the Francke Foundations,11.973496 , 51.478112
Q856480,Ca’ Pesaro Library,12.33116667 , 45.44066667
Q856483,Library of the Friedrich-Ebert-Stiftung,7.13483333 , 50.70205556
Q856484,Library of the Hochschule Hannover,9.722405555 , 52.353405555
Q856487,Bibliothek der Freien,13.4254 , 52.5286
Q856489,Library of the Eberswalde University for Sustainable Development,13.8169 , 52.8333
Q856494,Library of the University of Applied Sciences Würzburg-Schweinfurt,10.2113 , 50.0444
Q856496,Library of the Free University of Bozen-Bolzano,11.35075 , 46.49818
Q856498,Library of the Montanuniversität Leoben,15.0936 , 47.3847
Q856503,Pilsen City Library,13.3762 , 49.7454
Q856506,Deutsches Museum library,11.5841 , 48.1304
Q856507,Yunnan Heshun Village Library,98.45722222 , 25.01361111
Q856510,Library of the German Bundestag,13.3786 , 52.5197
Q856511,Library of the Evangelical Monastery of St. Augustine's in Erfurt,11.0295 , 50.981
Q856518,Library at the Church administrative office of the Evangelical-Lutheran Church Hanover,9.728828 , 52.371577
Q856540,Museo Correr Library,12.3372 , 45.4336
Q856541,Library of the Natural History Museum Venice,12.32788889 , 45.44108333
Q856544,Library of Ashurbanipal,43.1528 , 36.3594
Q856545,Library of the Museum of Palazzo Mocenigo,12.33016667 , 45.44072222
Q856546,Library of the Cusanusstift,7.07149 , 49.91593
Q856547,University of Zurich Law Library,8.55056 , 47.3733
Q856549,UNESCO Institute for Lifelong Learning Library,9.991111 , 53.568287
Q856552,Bibliothek für Bildungsgeschichtliche Forschung - Research Library for the History of Education,13.4478 , 52.5047
Q856553,Library in the ice,-8.267222 , -70.668889
Q856557,Library and media center of the Palatine protestant churches,8.43366 , 49.31612
Q856559,Trinity College Library,-6.25680556 , 53.34388889
Q856560,Bibliothek von unten,16.3682 , 48.2128
Q856587,Bavarian Library Academy,11.5829 , 48.1468
Q856590,Library of Pergamum,27.1842 , 39.1325
Q860581,Prussian Heritage Image Archive,13.40998 , 52.5128
Q872144,Municipal Scientific Library Mainz,8.26938 , 50.0085
Q872328,Tenri Central Library,135.846 , 34.5947
Q889706,Bodenseebibliothek,9.47638889 , 47.6575
Q896935,Roemer- und Pelizaeus-Museum Hildesheim,9.94393 , 52.14901
Q912941,Q912941,18.241994 , 46.074357
Q915353,Library of the canton of St. Gallen,9.38194 , 47.4291
Q934825,Jordi Rubió i Balaguer Library,2.036917 , 41.340281
Q959068,Central Judaic Library,21.0028 , 52.2442
Q962291,Geisel Library,-117.238 , 32.8812
Q971499,Korgialenios Library,20.4867768 , 38.1767979
Q1006825,Esztergom Metropolitan Library,18.738611111 , 47.796527777
Q1020344,Q1020344,9.87576 , 49.8318
Q1020347,Büchereien Wien,16.3373 , 48.2027
Q1030648,Campbeltown Library and Museum,-5.60280556 , 55.42383333
Q1036261,Tōyō Bunko,139.748561111 , 35.731280555
Q1060854,Widener Library,-71.1164 , 42.3737
Q1078672,Christian Weise Library,14.8104 , 50.8957
Q2232040,Schaumburg Township District Library,-88.0833 , 42.0255
Q2239193,Silesian Library,19.03138889 , 50.25222222
Q2239285,Schleswig-Holstein state library,10.1427 , 54.3217
Q2253754,Q2253754,7.63311 , 51.9571
Q2262470,Q2262470,3.22441 , 51.20983
Q2267622,Tresoar,5.79028 , 53.20333
Q2310268,Rijksmuseum Research Library,4.8802 , 52.354
Q2310792,Spinnboden,13.39929833 , 52.5353154
Q2324312,State Library of Ansbach,10.57444444 , 49.30333333
Q2324315,Staatliche Bibliothek Neuburg an der Donau,11.1779 , 48.7374
Q2324321,Passau State Library,13.4707 , 48.5743
Q2324325,Regional State Library for Regensburg,12.09055556 , 49.01833333
Q2324633,Augsburg State and Municipal Library,10.8906 , 48.3695
Q2326332,Dortmund City and State Library,7.46093 , 51.5165
Q2326335,Stadt- und Landesbibliothek Potsdam,13.0593 , 52.397
Q2326345,Gunzenhausen Public Library and School Library,10.759 , 49.1141
Q2326792,Lübeck City Library,10.6894 , 53.8685
Q2326804,Aachen City Library,6.09002 , 50.7777
Q2326808,Q2326808,14.2505 , 48.2043
Q2326817,Baden-Baden City Library,8.23711 , 48.7636
Q2326820,Public library of Braunschweig,10.5272 , 52.2629
Q2326823,Bremen public library,8.81235 , 53.07375
Q2326827,Public library of Chișinău,28.83076 , 47.02602
Q2326831,Dormagen City Library,6.83745 , 51.094
Q2326834,Cit library Freiberg am Neckar,9.19167 , 48.9342
Q2326838,Flensburg Public Library,9.4384 , 54.7838
Q2326863,Greifswald City Library,13.3825 , 54.0967
Q2326865,Gütersloh City Library,8.37694 , 51.9042
Q2326867,City Library Gotha,10.7089 , 50.9473
Q2326871,Heilbronn City Library,9.22143 , 49.14602
Q2326874,Koblenz City Library,7.59622 , 50.3588
Q2326875,Public Library Leipzig,12.37474 , 51.33403
Q2326878,Ludwigsburg City Library,9.19217 , 48.8954
Q2326880,Ludwigshafen City Library,8.44858 , 49.4809
Q2326882,Mannheim City Library,8.4669 , 49.4858
Q2326885,Nuremberg City Library,11.081 , 49.4569
Q2326893,Oberhausen City Library,6.85257 , 51.4706
Q2326898,Pirna City Library,13.9397 , 50.963
Q2326904,Ratingen City Library,6.84694 , 51.2986
Q2326915,Tempelhof-Schöneberg district library,13.38567 , 52.46481
Q2326916,Schaffhausen City Library,8.63706 , 47.6954
Q2326921,Wuppertal City Library,7.14076 , 51.2573
Q2326926,City Library at the Mailänder Platz,9.18304 , 48.7902
Q2326998,New city library Augsburg,10.89513 , 48.36927
Q2327003,Düren City Library,6.479 , 50.808
Q2327007,Eislingen City Library,9.70557 , 48.6971
Q2327009,Frankfurt Public Library,8.68436 , 50.1129
Q2327015,Goch Public Library,6.17281 , 51.68788
Q2327017,Heidelberg Public Library,8.68659 , 49.4069
Q2327019,Hückelhoven City Library,6.22556 , 51.0546
Q2327021,Iserlohn City Library,7.69723 , 51.3745
Q2327025,Jülich City Library,6.35592 , 50.921
Q2327026,Lüdenscheid City Library,7.63455 , 51.2164
Q2327028,Rees Public Library,6.39595 , 51.7576
Q2327032,Velbert public libary,7.0465625 , 51.341150277
Q2327036,Werne Public Library,7.63684167 , 51.66355
Q2327039,Q2327039,16.2384 , 47.8128
Q2327040,Würzburg City Library,9.93019 , 49.7949
Q2327042,Zweibrücken City Library,7.3604 , 49.2513
Q2336196,Montagu C. Butler Library,-2.1657 , 52.9429
Q2348730,Abbey library of Xanten,6.45389 , 51.6622
Q2357520,Polish Library in Paris,2.3557 , 48.8513
Q2358491,Research library Dillingen,10.49113 , 48.57691
Q2359904,Dresden city libraries,13.7216 , 51.04935
Q2377891,Vyborg Library,28.747047222 , 60.709047222
Q2386662,Q2386662,5.38354 , 43.2959
Q2399120,German National Library of Science and Technology,9.72 , 52.3814
Q2405306,Bibliothèque littéraire Jacques-Doucet,2.34666667 , 48.84666667
Q2420410,Q2420410,3.51338 , 50.3259
Q2420849,Hispanic Society of America,-73.9465 , 40.8335
Q2442171,Solvay Library,4.37833 , 50.83861
Q2496246,University and Research Library Erfurt/Gotha,11.00891 , 50.98967
Q2496353,Utrecht University Library,5.123692 , 52.09477
Q2510884,Varnhagensche library,7.69717 , 51.3736
Q2531939,Seattle Central Library,-122.333 , 47.6061
Q2564503,West German Audio Book Library for the Blind,7.56208 , 51.9239
Q2564527,Hendrik Conscience Heritage Library,4.40388 , 51.22076
Q2568831,Wienbibliothek im Rathaus,16.3575 , 48.2115
Q2583293,Yale University Library,-72.9284 , 41.311
Q2585160,Q2585160,8.7294 , 47.4987
Q2586219,Regional Research Library in Liberec,15.05861111 , 50.77166667
Q2586228,Scientific regional library Lörrach,7.6580447 , 47.60900578
Q2637360,Albemarle Regional Library,-76.933501 , 36.396382
Q2660664,Damesleesmuseum,4.30495 , 52.090267
Q2660837,Mário de Andrade Library,-46.642083333 , -23.547444444
Q1090829,Oakland Public Library,-122.264 , 37.8008
Q1105594,Katona József Library,19.691667 , 46.909444
Q1107988,Keve András Ornithological and Nature Conservation Library,18.99350556 , 47.49794444
Q1113843,Malatestiana Library,12.243888888 , 44.138888888
Q1115445,Commerzbibliothek,9.98519897 , 53.5642477
Q1125633,Library of Parliament,-75.700277777 , 45.425555555
Q1125962,Hungarian Central Statistical Office Library,19.031111111 , 47.511388888
Q1135243,Rosenbach Museum & Library,-75.1751 , 39.9474
Q1142990,Alcatraz Library,-122.42277778 , 37.82638889
Q1160545,Chapel of Lyceum in Eger,20.375749 , 47.900056
Q1167439,Stadtbibliothek Salzburg,13.0269 , 47.8133
Q1173012,Dauphin County Law Library,-76.8819 , 40.2587
Q1184957,Nordic Library at Athens,23.7269 , 37.9682
Q1200052,State Library of Victoria,144.965 , -37.8098
Q1202265,Deutsche Bücherei,12.3967 , 51.3224
Q1203554,National Meteorological Library,8.74774 , 50.1032
Q1203665,German Central Library of Pharmacy,9.18543 , 48.77734
Q1204529,German National Library of Agricultural Science,7.08665 , 50.7269
Q1226045,Library of the Hungarian Parliament,19.0467 , 47.507
Q1226119,Q1226119,19.0536 , 47.4902
Q1231881,Speyer diocesan library,8.43533 , 49.3078
Q1231884,Diocesan Library Münster,7.62208 , 51.9647
Q1231885,Rottenburg diocesan library,8.93366 , 48.4758
Q1236921,Freising cathedral library,11.746 , 48.3984
Q1236928,Hildesheim cathedral library,9.9475 , 52.15
Q1238147,Marsh's Library,-6.27194444 , 53.33972222
Q1242835,Q1242835,18.241721 , 46.074797
Q1247229,University Library Würzburg,9.96806 , 49.7825
Q1253734,Dr. Erich-Bloch and Lebenheim Library,9.17542 , 47.65843
Q1255227,Martin-Opitz-Library,7.22307 , 51.537
Q1270293,Dansk Centralbibliotek for Sydslesvig,9.0467115 , 54.4801716
Q1274754,Glarner Landesbibliothek,9.067172222 , 47.041494444
Q1296257,Waldeckian Royal Court Library,9.02129 , 51.3805
Q1299429,Former university library of Helmstedt,11.0086 , 52.2293
Q1301627,Q1301627,17.920579 , 50.668813
Q1302529,Q1302529,7.44234 , 46.9463
Q1321797,Moldenhauer Archives,-77.00388889 , 38.88777778
Q1337750,Queens Library,-73.795 , 40.7078
Q1339309,Q1339309,12.5545 , 52.4115
Q1339543,Q1339543,9.74528 , 47.4939
Q1343432,Cantonal library Schwyz,8.65586 , 47.0218
Q1346585,Zschopau City Library,13.0684 , 50.746
Q1361808,Tolstoy Library,11.5852 , 48.1345
Q1363860,Archbishop's Diocesan and Cathedral Library,6.95203 , 50.9447
Q1376408,Vancouver Public Library,-123.116 , 49.2797
Q1378928,Eutin state library,10.618211 , 54.13746
Q1381766,Sam Cohen Library,14.53194444 , -22.67805556
Q1391119,Special library for  ecclesiastical and cultural history,12.2861 , 52.2631
Q1397460,Königsberg Public Library,20.51355556 , 54.70680556
Q1425545,Johannes a Lasco Library,7.20236 , 53.3653
Q1425653,Q1425653,20.19750023 , 47.17499924
Q1427870,Leverkusen City Library,6.98848 , 51.0331
Q1434830,Cantonal Library Nidwalden,8.36982 , 46.9566
Q1439945,Q1439945,14.291 , 48.2973
Q1440938,Cantonal Library Thurgau,8.899419444 , 47.556205555
Q1455447,Hadrian's Library,23.726111 , 37.975556
Q1457554,Bochum City Library,7.21472 , 51.4832
Q1466244,City library of Loerrach,7.66040556 , 47.61020833
Q1470933,Q1470933,18.734611111 , 47.797583333
Q1473873,Q1473873,12.3763713 , 51.3112519
Q1478335,Memmingen Scientific City Library,10.17843 , 47.98508
Q1478423,The Morgan Library & Museum,-73.981556 , 40.748803
